Bldg Type,Bldg Subtype,Tenant,Tenant Industry Cluster,Tenant Industry,Tenant Sub Industry,Lease Industry Cluster,Lease Industry,Lease Sub Industry,Local Industry,Address,City,State,Zip,Bldg Name,Business Park,Market,Submarket,Micromarket,Prior Location,Bldg Class,Bldg Sub-class,Lease Size,Suite,Floor(s),View Space,Space Use Type,Space Use SubType,Office s.f.,Retail s.f.,Lab s.f.,Docks,Docks at grade,Docks inside,Dock Configuration Type,Drive Ins,Speed Bay,Clear Height Min,Clear Height Max,Term (mos),Sign Date,Commencement Date,Move-in Date,Expiration Date,Lease Type,Asking Rent,First Year Rent p.s.f.,Rent Type,Effective Rent p.s.f.,Average Rent p.s.f.,Shell Rate p.s.f.,Office Rate p.s.f.,Escalation,Escalation Frequency,Escalation Type,Escalation Amount,Free Rent (mos),Free Rent ($),Free Rent Type,Rent Comments,TIs p.s.f.,Improvement Comments,Submarket Cluster,Custom Cluster,Bldg Size,Bldg Status,Multi-floor?,Entire floor?,Transaction Type,Footprint,Previous Lease s.f.,Bldg Leasing Company,Agency Broker Company,Agency Broker Name,Tenant Broker Company,Tenant Broker Name,Landlord at Time of Lease,Current Landlord,Comments,Private Comments,Source,Full Lease?,Followup Required?,Confidential?,Corp. HQ?,Total Lease Value,OpEx and Taxes p.s.f.,Taxes,Insurance,Construction Materials,Industrial AC,Sprinkler Type,Rail Type,Crane Served?,Crane Count,Crane Capacity,Crane Hook Height,Crane Comments,Broke Ground Date,Build Date,Renovated Date,Latitude,Longitude,In Leasing Statistics?,In Statistics?,In Skyline?,Most Expensive Street?,Improvement Allowance Comments,Prior Address,Prior Building Name,Prior Submarket,CoStar Property ID,CRM Property ID,MDM Property ID,MarketSphere Property ID,MarketSphere Lease ID,Created On,Created By,Modified On,Modified By
Office,Office,HQ Global Workplaces,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,50 California St,San Francisco,California,94111,50 California,,San Francisco,North Financial District,,,A,No Value,25826,,,,,,,,,,,,,,,,,60,10/30/2005,12/1/2005,38687,11/30/2010,Direct,,,Full Service Gross,36,36,,,,,,,,,,,,,CBD,,687574,Existing,No,Yes,,,,Shorenstein,,,,,,Shorenstein,,,,No,No,No,No,,,,,,,,,,,,,,,25934,35431,37.794052,-122.397346,No,Yes,Yes,Yes,,,,,320420,41FE1501-2DFB-E011-A40E-0026B952B32D,8254311,78718,54771,42381.94861,System Setup,43362.88333,Scott Homa
Office,Office,HQ Global Workplaces,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,50 California St,San Francisco,California,94111,50 California,,San Francisco,North Financial District,,,A,No Value,25826,,15,,,,,,,,,,,,,,,72,10/30/2005,10/30/2005,38655,10/29/2011,Direct,,,Full Service Gross,36,36,,,,,,,,,,,,,CBD,,687574,Existing,No,Yes,,,,Shorenstein,,,,,,Shorenstein,,,,No,No,No,No,,,,,,,,,,,,,,,25934,35431,37.794052,-122.397346,No,Yes,Yes,Yes,,,,,320420,41FE1501-2DFB-E011-A40E-0026B952B32D,8254311,78718,50747,42381.94861,System Setup,43362.88333,Scott Homa
Office,Office,HQ Global Workplaces,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,50 California St,San Francisco,California,94111,50 California,,San Francisco,North Financial District,,,A,No Value,25826,Suite 15-25826,15,,,,,,,,,,,,,,,67,10/30/2005,4/1/2006,38808,10/30/2011,Direct,,,Full Service Gross,36,36,,,,,,,,,,,,,CBD,,687574,Existing,No,No,,,,Shorenstein,,,,,,Shorenstein,Suite 15-25826,,Colliers Internat,No,No,No,No,,,,,,,,,,,,,,,25934,35431,37.794052,-122.397346,No,Yes,Yes,Yes,,,,,320420,41FE1501-2DFB-E011-A40E-0026B952B32D,8254311,78718,52321,42381.94861,System Setup,43362.88333,Scott Homa
Office,Office,Premier Office Centers,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,,101 California St,San Francisco,California,94111,101 California,,San Francisco,North Financial District,,,Trophy,No Value,13540,,24,,,,,,,,,,,,,,,80,2/7/2006,2/7/2006,38755,10/6/2012,Sublease,,,Full Service Gross,32.75,32.75,,,,,,,,,,,,,CBD,,1203065,Existing,No,Yes,,,,Hines,,,,,,GIC Real Estate International,,,,No,No,No,No,,,,,,,,,,,,,,,29952,37257,37.792831,-122.397933,No,Yes,Yes,Yes,,,,,320422,AF0E5098-F9F9-E011-A40E-0026B952B32D,6660627,44942,56174,42381.94861,System Setup,43364.64583,Scott Homa
Office,Office,Premier Office Centers,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,,225 Bush St,San Francisco,California,94104,225 Bush,,San Francisco,North Financial District,,,B,No Value,25932,,16,,,,,,,,,,,,,,,119,6/13/2003,6/13/2003,37785,5/31/2013,Direct,,,Full Service Gross,20,20,,,,,,,,,,,,,CBD,,557972,Existing,No,Yes,,,,JLL,,,,,,The Flynn Company,"16th Floor, Ti's not available",,,No,No,No,No,,,,,,,,,,,,,,,7672,40179,37.790836,-122.401161,No,Yes,No,No,,,,,44637,B0B6F0AA-A1FA-E011-B691-00505692362F,8402871,63007,52463,42381.94861,System Setup,43364.64583,Scott Homa
Office,Office,Regus,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Other professional and business services,580 California St,San Francisco,California,94104,580 California,,San Francisco,North Financial District,,,A,No Value,500,,12,,,,,,,,,,,,,,,72,6/28/2013,8/1/2013,41487,1/31/2014,Direct,,,,0,0,,,,,,,,,,,,,CBD,,309932,Existing,No,Yes,New to Market,,,JLL,,,JLL,,,JP Morgan Chase & Company,,,JLL,No,No,No,No,,,,,,,,,,,,,,,30682,,37.792895,-122.40414,No,Yes,Yes,Yes,,,,,320444,4D5C7BF9-39FB-E011-A40E-0026B952B32D,8259759,81713,54098,42381.94861,System Setup,,
Office,Creative,RocketSpace,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,181 Fremont St,San Francisco,California,94105,181 Fremont,,San Francisco,South Financial District,Transbay District,,Trophy,No Value,9140,,1,,,,,,,,,,,,,,,37,4/15/2011,4/15/2011,40648,6/1/2014,Direct,,,Modified Gross,25,25,,,,,,,,,,,,,CBD,,432000,Existing,No,Yes,New to Market,,,Newmark Cornish & Carey,,,JLL,,,Jay Paul Company,As-is,,CBRE,No,No,No,No,,,,,,,,,,,,,,41456,43191,,37.789699,-122.39536,No,Yes,Yes,No,,,,,8957666,1F247A52-90FA-E011-B691-00505692362F,284784,57721,52560,42381.94861,System Setup,,
Office,Office,Regus,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,505 Montgomery St,San Francisco,California,94111,505 Montgomery,,San Francisco,North Financial District,,,A,No Value,30120,,"10,11",,,,,,,,,,,,,,,60,6/15/2010,6/15/2010,40344,6/15/2015,Direct,,,Full Service Gross,34.64,34.64,,,,,,,,,,,,,CBD,,315990,Existing,No,Yes,New to Market,,,Colliers International,,,CBRE,,,Deutsche Asset & Wealth Management,6 months free rent,,Fogg,No,No,No,No,,,,,,,,,,,,,,,32143,,37.793946,-122.403129,No,Yes,Yes,No,,,,,320732,DA8E7DD5-2FFB-E011-A40E-0026B952B32D,8311694,79186,54293,42381.94861,System Setup,,
Office,Office,RocketSpace,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,225 Bush St,San Francisco,California,94104,225 Bush,,San Francisco,North Financial District,,,B,No Value,26000,,12,,,,,,,,,,,,,,,27,6/20/2013,6/21/2013,41446,9/30/2015,Sublease,,,Full Service Gross,45.67,45.67,,,Annual $1.00,Annual,Amount,1,,,,,,,CBD,,557972,Existing,No,Yes,,,,JLL,,,JLL,,,The Flynn Company,"Sublease from Viacom, $45 FS start with $1 annual increases, turnkey",,CAC Group,No,No,No,No,,,,,,,,,,,,,,,7672,40179,37.790836,-122.401161,No,Yes,No,No,,,,,44637,B0B6F0AA-A1FA-E011-B691-00505692362F,8402871,63007,56270,42381.94861,System Setup,,
Office,Office,Regus,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,425 Market St,San Francisco,California,94105,425 Market,,San Francisco,South Financial District,,,A,No Value,2400,,12,,,,,,,,,,,,,,,96,1/1/2008,1/1/2008,39448,12/31/2015,Direct,,,Full Service Gross,22.56,22.56,,,,,,,,,,,,,CBD,,996760,Existing,No,Yes,Renewal,,,Cushman & Wakefield,,,,,,Norges Bank Investment Management,Renewal. No TIs.,,,No,No,No,No,,,,,,,,,,,,,,,26665,32143,37.791239,-122.39816,No,Yes,Yes,No,,,,,320629,6C014580-C7FA-E011-B691-00505692362F,8200462,75884,56237,42381.94861,System Setup,,
