State,Rate
California,12
California,11
California,
California,25
California,31
California,19
California,
California,11
California,17
California,23
California,14
California,20
California,34
California,19
California,27
California,24
California,11
California,44
California,35
California,8
California,14
California,10
California,21
California,27
California,14
California,
California,
California,11
California,10
California,19
California,12
California,11
California,34
California,14
California,17
California,7
California,5
California,13
California,21
California,16
California,15
California,8
California,15
California,7
California,19
California,20
California,
California,28
California,13
California,14
California,15
California,9
California,13
California,
California,9
California,35
California,14
California,14
California,16
